1,1558606432,10/28/2020 1:00,34.95,1,1
2,321125169,10/29/2020 11:00,38.49,1,2
3,72227710,10/30/2020 13:00,17.49,1,3
4,72227885,10/31/2020 23:00,69.98,2,4
5,1586851322,11/1/2020 11:00,39.95,1,5
6,345336895,11/2/2020 11:00,48.93,7,6
7,345376595,11/3/2020 11:00,12.95,1,7
8,345409469,11/4/2020 11:00,14.95,1,8
9,345409469,11/5/2020 11:00,14.95,1,9
10,671004107,11/6/2020 11:00,23.97,3,10
11,782140661,11/7/2020 11:00,104.97,1,11
12,385504470,11/8/2020 11:00,17.47,1,12
13,345409469,11/9/2020 11:00,14.95,1,2
14,140077022,11/10/2020 11:00,14.00,1,14
15,743244249,11/11/2020 11:00,50.00,2,15
16,679722955,11/12/2020 11:00,11.20,1,16
17,684848155,11/13/2020 11:00,16.00,1,17
18,471363049,11/14/2020 11:00,417.60,3,18
19,61020648,11/15/2020 11:00,7.99,1,19
20,393319407,11/16/2020 11:00,16.95,1,20
