738206679,3
316096199,84
316666343,84
1561584029,76
1579902944,76
60934417,72
60540753,72
156006219,72
1558606432,35
321125169,36
321125169,95
321125169,13
321125169,8
72227710,62
72227885,57
1586851322,10
1586851322,2
345336895,82
345376595,82
345409469,82
375508325,82
671004107,82
782140661,25
782140661,89
782140661,86
782140661,94
782140661,49
385504470,71
1590520734,46
140077022,29
743244249,29
679722955,29
684848155,29
471363049,54
471363049,96
471363049,93
517576600,51
517576600,23
517576600,41
517576600,38
393319407,97
679450785,97
067463442X,97
067976867X,97
471286168,16
471288217,16
471358983,16
471358983,1
1565924916,12
865659982,4
865659982,33
865659982,39
684843285,66
1558605525,98
1558605525,37
385494149,65
385494246,65
385494327,65
038572179X,65
66214750,68
316602051,73
316602051,43
71414339,27
743222008,26
262232197,100
324113641,100
1561586196,91
440237556,69
130998516,19
201615762,47
609610570,6
609610570,14
609610570,9
425188361,45
130323519,77
130323519,20
130323519,50
156158648X,17
72294337,42
72294337,90
375703764,24
743206061,18
312276702,28
312243022,21
72222743,67
345452089,79
446527793,85
446606812,85
446608955,85
446676098,85
373218192,78
373218257,78
399149392,78
399149848,78
787960756,59
735712123,31
782140114,61
782140114,40
782140114,44
324107501,34
324107501,88
324107501,15
471200247,55
471200247,81
1586851357,58
805317554,32
805317554,70
1861004486,92
72315318,48
972263608,83
312287941,60
735712360,52
735712379,52
735713170,52
262521415,5
262024829,5
262024829,22
743457358,56
743467523,56
743455967,56
1880418568,56
1880418568,101
1579550088,99
471391123,80
670031518,74
60958332,74
60958405,74
393318486,74
142001740,53
373272839,7
596004478,11
596004478,30
60502935,75
60855925,75
61020648,75
61020656,75
61092177,75
61161721,75
394739698,64
394739698,63
312311354,87
