10,9/10/2020,21:00,72222743,80,27,$59.99,"$1,619.73"
5,10/12/2019,16:00,72294337,13,29,$122.50,"$3,552.50"
3,7/15/2000,14:00,130323519,5,41,$126.67,"$5,193.47"
9,10/12/2019,20:00,312243022,75,39,$3.44,$134.16
8,4/3/2018,19:00,312276702,33,52,$24.95,"$1,297.40"
11,7/15/2000,22:00,345452089,17,9,$6.99,$62.91
16,4/3/2018,3:00,373218192,84,49,$7.50,$367.50
17,10/12/2019,4:00,373218257,56,15,$14.95,$224.25
6,9/10/2020,17:00,375703764,15,35,$19.95,$698.25
18,9/10/2020,5:00,399149392,23,43,$25.95,"$1,115.85"
19,7/15/2000,6:00,399149848,12,43,$25.95,"$1,115.85"
2,9/10/2020,13:00,425188361,20,6,$16.07,$96.42
12,4/3/2018,23:00,446527793,89,59,$24.95,"$1,472.05"
13,10/12/2019,0:00,446606812,23,59,$7.50,$442.50
14,9/10/2020,1:00,446608955,54,59,$6.99,$412.41
15,7/15/2000,2:00,446676098,66,59,$12.95,$764.05
1,10/12/2019,12:00,609610570,10,8,$27.50,$220.00
7,7/15/2000,18:00,743206061,3,50,$26.00,"$1,300.00"
20,4/3/2018,7:00,787960756,15,22,$13.20,$290.40
4,4/3/2018,15:00,156158648X,7,54,$24.95,"$1,347.30"
